house_size_m2,rooms,floor,open_kitchen,parking_spaces,house_age,garden,bathrooms,toilets,distance_to_city_center_km,municipality,property_type,sauna,balcony_terrace,heating_system,condition,plot_size_m2,energy_rating,price_thousand_eur
91,3,0,1,1,5,1,2,2,19.8,Helsinki,Terraced house,1,1,District heating,Good,740,C,387
81,3,2,1,1,5,0,1,1,4.1,Jyväskylä,Apartment,0,1,District heating,Excellent,0,A,173
57,2,2,1,1,14,0,1,1,8.1,Oulu,Apartment,0,1,Electric heating,Fair,0,C,104
103,4,0,0,2,28,1,2,2,11.7,Oulu,Semi-detached house,1,0,Air-source heat pump,Fair,890,C,190
127,5,0,0,2,91,1,2,3,8.3,Pori,Detached house,0,0,Electric heating,Needs renovation,1640,G,83
103,4,0,0,1,33,1,1,2,1.4,Tampere,Detached house,1,1,Oil heating,Needs renovation,865,E,241
94,4,1,1,2,27,0,2,2,5.1,Helsinki,Apartment,0,0,District heating,Good,0,C,406
95,4,0,1,2,28,1,2,2,4.9,Lahti,Detached house,1,0,Electric heating,Needs renovation,1140,D,130
80,4,0,1,1,30,0,2,2,8.6,Vantaa,Apartment,0,1,District heating,Excellent,0,B,213
81,3,0,0,1,28,0,1,1,15.1,Vantaa,Apartment,0,1,District heating,Needs renovation,0,E,122
43,2,3,0,1,51,0,1,1,2.4,Helsinki,Apartment,0,1,District heating,Fair,0,E,159
81,4,0,1,1,16,1,1,2,12.2,Oulu,Terraced house,1,1,Electric heating,Excellent,405,D,150
114,5,0,0,1,26,1,2,2,20.6,Vantaa,Terraced house,0,1,Electric heating,Good,515,C,256
54,3,1,0,1,41,0,1,1,1.1,Kuopio,Apartment,0,1,District heating,Fair,0,D,95
58,2,2,0,1,31,0,1,1,2.9,Helsinki,Apartment,0,1,District heating,Excellent,0,C,263
99,3,1,1,0,17,0,1,2,19.4,Vantaa,Apartment,0,1,District heating,Excellent,0,C,195
87,3,0,0,1,50,1,2,2,5.2,Turku,Terraced house,0,1,Oil heating,Needs renovation,430,F,131
